entry_id,delta_e,stability,natoms,ntypes,composition_id,element_list,element_1_symbol,element_1_atomic_radii,element_1_electronegativity,element_1_mass,element_1_covalent_radii,element_1_first_ionization_energy,element_2_symbol,element_2_atomic_radii,element_2_electronegativity,element_2_mass,element_2_covalent_radii,element_2_first_ionization_energy,spacegroup_id,volume_pa,sxx,syy,szz,sxy,syz,szx
47374,-0.697977259767026,0.03317183851851857,27,2,Cd1 I2,I_Cd_,Cd,155,1.69000005722,112.411003113,148,8.99380016327,I,140,2.66000008583,126.903999329,133,10.4512996674,156,33.2128,2.09055,2.09071,0.07253,-0.00078,-0.00033,0.00203
349228,0.37523490625,0.5634630420266584,4,2,Os3 Si1,Si_Os_,Os,130,2.20000004768,190.229995728,128,8.43819999695,Si,110,1.89999997616,28.0855007172,111,8.15168952942,221,14.0371,0.34813,0.34813,0.34813,0.0,0.0,0.0
756486,0.00942586750000037,0.13467150499999944,12,2,Cd1 Zr1,Zr_Cd_,Cd,155,1.69000005722,112.411003113,148,8.99380016327,Zr,155,1.33000004292,91.2239990234,148,6.63390016556,6,21.5823,35.68418,26.01743,25.56952,-0.02736,0.0,0.0
630594,-1.65066449996416,0.0017191379166652254,8,2,Cs1 I1,Cs_I_,Cs,260,0.790000021458,132.904998779,225,3.8938999176,I,140,2.66000008583,126.903999329,133,10.4512996674,62,42.8098,0.22637,0.17351,0.38309,0.0,0.0,0.0
34961,0.28329374222222,0.28329374222222,6,2,Mg2 Rb1,Mg_Rb_,Mg,150,1.30999994278,24.3050003052,130,7.64624023438,Rb,235,0.819999992847,85.4677963257,211,4.17713022232,189,41.565,0.01071,0.01071,-0.00131,0.0,0.0,0.0
314461,0.61290705,0.61290705,4,2,Ca1 Nb3,Ca_Nb_,Ca,180,1.0,40.077999115,174,6.11316013336,Nb,145,1.60000002384,92.9064025879,137,6.75885009766,225,20.3963,0.24996,0.24996,0.24996,0.0,0.0,0.0
324197,-1.48379436809833,0.6299000462499995,8,2,F3 Tc1,Tc_F_,F,50,3.98000001907,18.9983997345,71,17.4228000641,Tc,135,1.89999997616,98.0,156,7.28000020981,194,10.8511,8.69728,8.69728,7.74936,0.0,0.0,0.0
349106,0.48744564125,0.5001139662499997,4,2,Co3 Tl1,Tl_Co_,Co,135,1.87999999523,58.9332008362,121,7.63980007172,Tl,190,1.62000000477,204.382995605,148,6.10820007324,221,13.5332,22.59233,22.59233,22.59233,0.0,0.0,0.0
297670,-0.0678345312499999,0.33866680249999964,4,2,Hf3 Ru1,Ru_Hf_,Hf,155,1.29999995232,178.490005493,150,6.82506990433,Ru,130,2.20000004768,101.069999695,126,7.36049985886,139,19.3487,0.02089,0.02089,-0.04903,0.0,0.0,0.0
304305,0.59730567125,0.59730567125,4,2,Be1 Tl3,Be_Tl_,Be,105,1.57000005245,9.01218032837,90,9.32269954681,Tl,190,1.62000000477,204.382995605,148,6.10820007324,139,23.5261,2.80878,2.80878,2.34841,0.0,0.0,0.0
